,City Id,City Name,Country,Latitude,Longitude,Datetime,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed
34,3833367,Ushuaia,AR,-54.8,-68.3,1603691146,41.0,86,0,2.24
35,863061,Usinsk,RU,65.99,57.53,1603691406,17.37,94,39,9.6
36,321191,Beyşehir,TR,37.68,31.72,1603691406,64.6,35,79,5.86
37,3424607,Tasiilaq,GL,65.61,-37.64,1603691406,33.8,69,100,26.4
38,1282256,Hithadhoo,MV,-0.6,73.08,1603691407,83.79,67,6,8.19
39,118063,Sabzawār,IR,36.21,57.68,1603691407,68.81,22,0,2.68
40,342711,Barentu,ER,15.11,37.59,1603691407,84.54,25,0,8.72
41,3832899,Viedma,AR,-40.81,-63.0,1603691335,53.6,39,0,8.7
42,3652764,Puerto Ayora,EC,-0.74,-90.35,1603691408,66.0,90,88,1.99
43,3369157,Cape Town,ZA,-33.93,18.42,1603691184,66.0,87,0,3.36
44,2110227,Butaritari,KI,3.07,172.79,1603691408,81.73,66,100,6.06
45,2122783,Katangli,RU,51.71,143.23,1603691408,40.39,91,100,22.17
46,1520253,Zharkent,KZ,44.16,80.0,1603691409,59.18,29,0,4.99
47,3464305,Embu,BR,-23.65,-46.85,1603691409,63.0,82,90,6.93
